Handle,Command,Title,Author,Body HTML,Summary HTML,Tags,Tags Command,Published,Published At,Image Src,Image Alt Text,Blog: Handle,Metafield: sga.thumbnail [file_reference],Metafield: sga.total_time_minutes [number_integer],Metafield: sga.servings [number_integer],Metafield: sga.dietary [list.single_line_text_field],Metafield: sga.main_product [product_reference],Metafield: sga.related_products [list.product_reference],Metafield: sga.related_articles [list.article_reference],Metafield: sga.you_might_also_like [list.article_reference],Metafield: sga.you_might_also_like_heading [single_line_text_field],Metafield: sga.related_products_heading [single_line_text_field],Metafield: sga.ingredients [list.single_line_text_field],Metafield: sga.ingredient_products [list.product_reference],Metafield: sga.eyebrow [single_line_text_field],Metafield: sga.serving_tip [single_line_text_field],Metafield: sga.difficulty [single_line_text_field],Metafield: sga.instructions [list.single_line_text_field]
rajcatovy-dhal-s-mungo-fazolemi,MERGE,Rajčatový dhal s mungo fazolemi,Sonnentor,,Podlehněte vábení Orientu!,"Orient, luštěniny",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36711/image-thumb__36711__thumb-slider/rajcatovy-dhal-s-mungo-fazolemi.f34cc12e.jpg,Rajčatový dhal s mungo fazolemi,recipes,rajcatovy-dhal-s-mungo-fazolemi-thumb.jpg,40,2,"vegetariánské, bez laktózy, bez lepku",,,,"libanonsky-kolac-sfouf, zeleninove-spizy-s-rakytnikovou-kari-omackou, peceny-dynovy-falafel, cockova-polevka-s-pomerancem, indicky-cockovy-dhal-se-spenatem, cockovy-dhal-s-hokkaido-dyni, kremova-cockova-polevka, rajcatova-panev-s-fetou-a-vajicky","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""1|hrnek|mungo fazolí"",""2|hrnky|červené čočky"",""0.5||plechovky rajčat"",""3|stroužky|česneku"",""2||menší cibule"",""1|lžíce|ghí (přepuštěného másla)"",""2|lžičky|najemno nastrouhaného zázvoru"",""1|lžička|lahůdkového droždí"",""1|lžička|sezamové pasty tahini"",""||pár kapek citronové šťávy""]","kurkuma-bio-40g, koriandr-bio-mlety-40g, chilli-bio-mlete-40g",Recept,,,"[""Mungo fazole nechte přes noc namočit. Poté je uvařte (potrvá to 15–20 minut), po chvíli přidejte červenou čočku. Z povrchu sesbírejte pěnu, která se vytvoří, pak do vody přimíchejte dvě lžičky kurkumy a vařte do měkka. Na pánvi rozpusťte ghí, orestujte na něm dozlatova cibulku, přidejte česnek, po minutce i rajčata, chilli, kurkumu, droždí, zázvor a pár kapek citronové šťávy. Vsypte scezené fazole s čočkou, dobře promíchejte a po chvíli přidejte i tahini. Dochutit můžete solí, rybí omáčkou, kapkou vína nebo hrstí sušených rajčat.""]"
hummus-s-cervenou-repou,MERGE,Hummus s červenou řepou,Sonnentor,,Cizrnová klasika oblékla růžový kabátek!,"Orient, luštěniny, Svačina, Pomazánky & dresinky",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36712/image-thumb__36712__thumb-slider/hummus-s-cervenou-repou.b139a034.jpg,Hummus s červenou řepou,recipes,hummus-s-cervenou-repou-thumb.jpg,10,4,,,,,"cokoladove-grissini, pulmesicky-vsechno-nejmilejsi, nakladane-ostruziny, svenova-pomazanka-z-uzeneho-lososa, bylinkova-pomazanka-nebo-dip, pernickova-granola, pralinkovy-krem, vavrincuv-sladky-popcorn","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""150|g|naložené řepy ve vlastní šťávě"",""100|g|uvařené cizrny"",""2|lžíce|olivového oleje"",""2|lžičky|sezamové pasty tahini""]","kmin-rimsky-bio-mlety-40g, pepr-cerny-bio-mlety-50g, ayurvedska-kouzelna-sul-jemna-konv-150g",Recept,,,"[""Cizrnu nechejte přes noc namočit a poté ji uvařte, případně použijte cizrnu z plechovky. Všechny ingredience včetně půl lžičky římského kmínu dejte do mixéru a rozmixujte dohladka. Pokud je hummus příliš hustý, můžete ho naředit šťávou z červené řepy."",""Osolte, opepřete a promíchejte. Podávejte se špalíčky zeleniny nebo s pita chlebem.""]"
argentinska-svickova-s-marinovanymi-mrkvemi,MERGE,Argentinská svíčková s marinovanými mrkvemi,Sonnentor,,Kvalitní kousek hovězího si vychutnejte ve spojení s pečenými mrkvičkami.,,REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36713/image-thumb__36713__thumb-slider/argentinska-svickova-s-marinovanymi-mrkvemi.682d8e88.jpg,Argentinská svíčková s marinovanými mrkvemi,recipes,argentinska-svickova-s-marinovanymi-mrkvemi-thumb.jpg,40,4,,,,,,,Další naše produkty k receptu,"[""2|lžíce|oleje"",""2|lžíce|suchého bílého vína"",""0.5|lžíce|rybí omáčky a worchesteru"",""2|lžičky|javorového sirupu"",""||10-15 menších mrkví (můžou být i barevné)"",""2|lžičky|červeného vinného octa"",""2|lžičky|suchého bílého vína"",""10|lžiček|olivového oleje"",""||2-3 stroužky česneku""]","steak-that-bio-50g, holy-veggie-bio-30g, chilli-bio-mlete-40g",Recept,,,"[""Maso očistíme a nakrájíme na cca 2centimetrové steaky, které vložíme do marinády a necháme odpočinout přes noc v ledničce. Druhý den dáme zprudka opéct cca 2–3 minuty z každé strany, aby byl steak středně propečený."",""Jako přílohu si připravíme grilované mrkvičky. Nejdříve si mrkve očistíme, ale neloupeme. Uděláme si marinádu a mrkve hezky rukama promícháme s marinádou a necháme klidně pár hodin marinovat, pokud na to nemáme čas, tak necháme alespoň 15 minut. Rozprostřeme na plech a pečeme na programu gril při 200 ˚C cca 20–25 minut.""]"
zazvorove-panaky-s-kurkumou-na-imunitu,MERGE,Zázvorové panáky s kurkumou na imunitu,Sonnentor,,"Posilte svoji imunitu a dopřejte si pořádnou sílu v každém doušku zázvoru, kurkumy a citronu!","Zdraví, Zima, kurkumová",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36714/image-thumb__36714__thumb-slider/zazvorove-panaky-s-kurkumou-na-imunitu.cb58f26c.jpg,Zázvorové panáky s kurkumou na imunitu,recipes,zazvorove-panaky-s-kurkumou-na-imunitu-thumb.jpg,10,1,,,,,"jablecne-cupcaky, peceny-kapri-filet-v-makovem-obalu, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, selska-bramborova-pizza, pernikove-muffiny, kurkumova-kase-s-cervenym-pomerancem, kurkumove-kokosove-pusinky","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""4|lžíce|čerstvého zázvoru"",""1||kůry z citronu"",""50|ml|vody""]","kurkuma-bio-40g, ayurvedska-kouzelna-sul-jemna-konv-150g, pepr-cerny-bio-mlety-50g",Recept,"Skladbu panáků můžete měnit dle chuti, místo vody vyzkoušejte jablečný džus a místo citronu třeba pomeranč. Med nápoji ubere na ostrosti.",,"[""Kousek zázvoru očistěte a nastrouhejte nebo nasekejte na jemno. Budete ho potřebovat zhruba 4 lžíce. Poté oloupejte také citron a nakrájejte jej na kostičky. Všechny ingredience, společně s 1 lžičkou Kurkuma koření dejte do mixéru a rozmixujte dohladka. Tekutinu přeceďte přes jemné sítko nebo gázu."",""Pozitivními účinky nabité &#34;panáky&#34; si vychutnávejte doušek po doušku. Nedopřávejte si denně více než zmiňovaného malého &#34;panáka&#34;, čerstvý zázvor je opravdu hodně silný. Skladovat se dají v lednici až 5 dní.""]"
prsni-balzam-pri-nachlazeni,MERGE,Prsní balzám při nachlazení,Sonnentor,,Balzám hotový jedna dvě krásně voní po bylinkách a obsahuje pouze pár poctivých ingrediencí. Využijte sílu přírody!,"Zdraví, Vyrobte si sami, Éterické oleje",REPLACE,TRUE,,https://www.sonnentor.com/_default_upload_bucket/104772/image-thumb__104772__thumb-slider/prsni-balzam-pri-nachlazeni%20retus.6f7664c2.jpg,Prsní balzám při nachlazení,recipes,prsni-balzam-pri-nachlazeni-thumb.jpg,25,1,,,,,"diy-krem-po-opalovani, zazvorove-panaky-s-kurkumou-na-imunitu, domaci-tymianovy-sirup-pro-velke-i-male, bylinna-sul-do-chladnych-dni, psenicno-zitny-chleb, duhovy-dort-pro-maminku, rychla-zelena-polevka","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""30|g|kosmetického oleje (jojobový, mandlový,...)"",""2.5|g|včelího vosku""]","eukalyptus-bio-etericky-olej-10ml, cajovnik-bio-etericky-olej-10ml",Recept,,,"[""Nejprve pomalu roztopte ve vodní lázni včelí vosk. Pak do něj dobře vmíchejte olej: cca 10 kapiček od každého (můžete přidat i další svůj oblíbený éterický olej). Přesuňte z vodní lázně a nechte chvíli zchladnout. Vmíchejte všechny éterické oleje a balzám napěchujte do čistého kelímku."",""Aplikujte dle potřeby několikrát denně, malou dávku rozetřete na hruď a záda. Pozor, kvůli obsahu éterických olejů není vhodné pro děti, těhotné ženy a astmatiky. Při pokojové teplotě balzám vydrží zhruba půl roku.""]"
domaci-tymianovy-sirup-pro-velke-i-male,MERGE,Domácí tymiánový sirup pro velké i malé,Sonnentor,,Vezměte si při boji s kašlem na pomoc tymián!,"Zdraví, Vyrobte si sami, Zima",REPLACE,TRUE,,https://www.sonnentor.com/cz/Tips/bylinne%20caje/94665/image-thumb__94665__thumb-slider/Monogewuerze-37.213a4f67.jpg,Domácí tymiánový sirup pro velké i malé,recipes,domaci-tymianovy-sirup-pro-velke-i-male-thumb.jpg,20,1,,,,,"jablecne-cupcaky, peceny-kapri-filet-v-makovem-obalu, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, selska-bramborova-pizza, pernikove-muffiny, kurkumova-kase-s-cervenym-pomerancem, kurkumove-kokosove-pusinky","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""100|ml|40% pálenky"",""100|g|cukru"",""200|ml|vody"",""100|g|cukru"",""1|lžíce|citronovou šťávu""]","tymian-bio-20g, tymian-bio-216-g-porc-dvoukomorovy",Recept,,,"[""VARIANTA PRO DOSPĚLÉ:"",""Základem tymiánové tinktury pro dospělé je alkohol, uvolní se do něj totiž více účinných látek než do čaje. 4 lžičky sypaného tymiánu dejte do uzavíratelné sklenice, přelijte 40% alkoholem (pálenka, vodka apod.) a dobře uzavřete. Při pokojové teplotě nechte luhovat zhruba 3 týdny. Poté tekutinu přefiltrujte a přiveďte k varu (většina alkoholu se tím vypaří). Přidejte 100 g cukru a nechte lehce probubávat, dokud se všechen cukr nerozpustí. Ještě horké plňte do lahviček."",""Při kašli užívejte 3x denně lžíci sirupu. Vydrží zhruba půl roku."",""VARIANTA PRO DĚTI:"",""Ze dvou sáčku porcovaného tymiánu připravte silný nálev tak, že je přelijete 200 ml vařící vody a necháte 15 minut luhovat. Poté sceďte. Nálev smíchejte se 100 g cukru a polévkovou lžící citronu. Nechte zhruba čtvrt hodinky probublávat, aby se cukr plně rozpustil."",""Při kašli dětem podávejte 1–3x denně lžičku sirupu. Skladujte v lednici, vydrží zhruba jeden měsíc.""]"
bylinna-sul-do-chladnych-dni,MERGE,Bylinná sůl do chladných dní,Sonnentor,,Využijte ji jako inhalační směs při nachlazení nebo si díky ní prohřejte zkřehlé nožky v koupeli.,"Zdraví, Vyrobte si sami, Zima",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/93544/image-thumb__93544__thumb-slider/Kutz%20Kutz%20Zeit_8289%20%281%29.930191ed.jpg,Bylinná sůl do chladných dní,recipes,bylinna-sul-do-chladnych-dni-thumb.jpg,5,1,,,,,"jablecne-cupcaky, peceny-kapri-filet-v-makovem-obalu, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, selska-bramborova-pizza, pernikove-muffiny, kurkumova-kase-s-cervenym-pomerancem, kurkumove-kokosove-pusinky","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,[],"ayurvedska-kouzelna-sul-do-mlynku-konv-150g, salvej-bio-syp-50g, mata-peprna-bio-syp-50g, hermanek-bio-syp-50g, tymian-bio-20g, eukalyptus-bio-etericky-olej-10ml",Recept,,,"[""Do sklenice postupně vrstvěte sůl a bylinky. Závěrečnou vrstvu soli pokapejte 3–5 kapkami eukalyptového éterického oleje. Sklenici uzavřete a nechte ji několik týdnů odpočívat, aby sůl mohla absorbovat vůně."",""Na prohřívající koupel tuto směs nechte rozpustit v horké vodě a nožky namáčejte zhruba 10 minut. Poté oblékněte hřejivé ponožky a zachumlejte se s šálkem dobrého čaje pod deku."",""Při rýmě a nachlazení směs využijte jako skvělý inhalační prostředek. Rozpusťte ji v litru horké vody, poté držte hlavu nad hrncem a zakryjte se velkým ručníkem. Zhluboka dýchejte zhruba po dobu cca 10 minut.""]"
valentynska-srdicka,MERGE,Valentýnská srdíčka,Sonnentor,,"Svěží špaldové sušenky s jahodami, malinami a citronem. Neodoláte!","Valentýn, Dezerty & sladké",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36718/image-thumb__36718__thumb-slider/valentynska-srdicka.536bf185.jpg,Valentýnská srdíčka,recipes,valentynska-srdicka-thumb.jpg,20,4,,,,,"jablecne-cupcaky, pstruhove-rizoto-na-chrestu, chai-orechovy-muffin, chai-mlecna-ryze, kavovy-lanyz, kouzelna-cokoladova-pena, pernikove-muffiny, boruvkovy-kolac-peceny-v-hrnku","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""200|g|špaldové mouky + na pomoučení válu"",""120|g|studeného másla"",""40|g|třtinového cukru"",""||Milostná kouzelná sůl s květy"",""10|g|lyofilizovaných malin"",""20|g|lyofilizovaných jahod"",""||kůru z 1 biocitronu"",""100|g|cukru moučka"",""1||bílek"",""||pár kapek citronovou šťávu""]","sila-kvetu-smes-kvetu-a-koreni-bio-35g, pepr-ruzovy-bio-cely-20g",Recept,,,"[""Do robotu se sekacími noži nasypte lyofilizované ovoce a posekejte na prach. Přidejte lžičku růžového pepře a opět posekejte. Vysypte z robotu do misky a přidejte vrchovatou lžičku koření Síla květů, 4 lžičky Červené řepy Latte, nastrouhanou kůru z citrónu, třtinový cukr a špetku soli. Voňavou růžovou směs promíchejte se špaldovou moukou. Přidejte posekané studené máslo a vypracujte těsto. Vytvořte z něj kouli, zabalte do potravinářské folie a nechte nejméně hodinu, nejlépe však přes noc uležet v lednici, aby se chutě koření uvolnily."",""Předehřejte troubu na 180 °C. Po odpočinutí těsta v chladu jej vytáhněte na pracovní desku a nechte 10 minut povolit. Poté si posypte vál moukou, vyválejte těsto na šířku 4 milimetrů a vykrajujte srdíčka, která pokládejte na pečícím papírem vyložený plech. Vložte do trouby a teplotu snižte na 160 °C. Pečte 10 minut, ne déle, aby si srdíčka zachovala krásnou růžovou barvu. Zdobte bílkovou polevou, na kterou smíchejte bílek s moučkovým cukrem a citronovou šťávou. Správnou konzistenci polevy můžete ověřit zarytím kuchyňského nože do směsi, po němž by měla být viditelná rýha, která nemizí. Tehdy má poleva správnou konzistenci a nestéká."",""Sušenky uchovávejte v uzavíratelné dóze, nejlépe ve spíži či komoře. Tak vydrží dlouho čerstvé. Ale garantujeme, že se sní během chvilky! :)""]"
nemasove-kulicky-v-rajcatove-omacce,MERGE,Nemasové kuličky v rajčatové omáčce,Sonnentor,,Skvělé kuličky bez masa v lahodné omáčce. Ať žije Itálie!,"těstoviny, Koření Zase dobře!",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36719/image-thumb__36719__thumb-slider/nemasove-kulicky-v-rajcatove-omacce.365bf76e.jpg,Nemasové kuličky v rajčatové omáčce,recipes,nemasove-kulicky-v-rajcatove-omacce-thumb.jpg,60,3,"vegetariánské, veganské, bez laktózy",,,,"jahlova-kase-s-granolou, barevny-salat-s-pecenou-cizrnou, bramborovy-gulas-s-fazolovymi-lusky, testoviny-s-kapustovym-pestem, mrkvove-smoothie-s-pomerancem, zelene-detox-smoothie, jablecno-dynovy-chleb, italske-testoviny-s-cuketou-a-rajcaty","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""250|g|černé čočky Beluga"",""0.5|hrnku|ovesných vloček"",""2|lžíce|pohankové mouky"",""||sůl a pepř"",""1||střední cibule"",""2|stroužky|česneku"",""2||plechovky rajčat"",""500|ml|rajčatového protlaku"",""||cukru"",""||sůl a pepř""]","cesnek-bio-granulovany-40g, sbohem-soli-pikantni-bio-50g, provensalske-koreni-bio-20-g, italske-koreni-bio-20g",Recept,,,"[""Nejprve si připravíme kuličky: propláchnutou čočku dáme vařit zhruba na půl hodinky, pak ji rozmixujeme a přidáme všechny ostatní suroviny na kuličky. Dlaněmi tvarujeme jednotlivé kuličky (vyjde jich zhruba 15). Pokládáme je na plech, zakápneme troškou oleje a dáme péct při 180 stupních asi 30 minut. Cibuli i česnek očistíme a nakrájíme nadrobno, lehce orestujeme a pak přidáme rajčata, protlak, 2 lžičky cukru a 2 lžičky Italského koření. Vaříme do zhoustnutí (cca 15 minut) a pravidelně mícháme."",""Upečené kuličky vhodíme do omáčky a podáváme se špagetami.""]"
cockova-moussaka-bez-masa,MERGE,Čočková moussaka bez masa,Sonnentor,,Bezmasá variace tradiční řecké moussaky je plná zeleniny a překvapí vás svou lahodnou chutí.,"luštěniny, Světová kuchyně",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36720/image-thumb__36720__thumb-slider/cockova-moussaka-bez-masa.26849f6d.jpg,Čočková moussaka bez masa,recipes,cockova-moussaka-bez-masa-thumb.jpg,60,4,"vegetariánské, veganské, bez lepku, bez laktózy",,,,"bouillabaisse-s-bagetkou, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, rolada-z-krkovicky-s-dynovym-pyre, kavovy-lanyz, kremove-cockove-kari-s-rajcaty-a-lilkem, cizrnove-kari-se-spenatem-a-kokosovym-mlekem, cockova-polevka-s-pomerancem, indicky-cockovy-dhal-se-spenatem","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""||2-3 lilky"",""2||batátů"",""||kousek (ne)másla a kapka rostlinného mléka"",""1||červená cibule"",""3|stroužky|česneku"",""2||stonky celeru (nemusí být)"",""1||červená paprika"",""250|g|hnědých žampionů"",""2|konzervy|hnědé čočky"",""1|konzerva|rajčat"",""1|hrnek|rajčatového protlaku"",""||cukru"",""||sůl a pepř""]","paprika-sladka-bio-mleta-50g, skorice-cejlon-bio-mleta-40g, muskatovy-orisek-bio-mlety-30g, sbohem-soli-pikantni-bio-50g",Recept,,,"[""Nejprve si omyjeme lilky a nakrájíme je na kolečka zhruba 1,5 cm široké. Rozložíme na plech vyložený pečicím papírem a při 200 stupních pečeme posolená a troškou olivového oleje potřená kolečka 20 minut z každé strany. Mezitím si v osolené vodě uvaříme batáty, které následně rozmixujeme s troškou (ne)másla, rostlinného mléka a špetkou soli na kaši. Na oleji orestujeme nadrobno nakrájenou cibulku a česnek, přidáme nadrobno nakrájený celer a na tenké proužky nakrájenou červenou papriku. Dusíme do změknutí, potom přidáme na plátky nakrájené žampiony a necháme ještě chvíli dusit. Poté do pánve přidejte čočku, rajčata a protlak, dochuťte lžičkou cukru a osolte. Dále přidejte lžičku papriky, půl lžičky skořice, trošku mletého muškátového oříšku a lžičku koření Zbohem soli, nechte povařit dalších zhruba 10-15 minut."",""Na dno menší zapekací mísy naskládejte kolečka lilku, pokryjte polovinou rajčatové směsi, opět rozložte lilek a zakryjte zbytkem směsi. Nakonec rozetřete batátovou kaši, můžete ji také posypat bylinkami. Pečte při 180 stupních zhruba 20 minut.""]"
banana-bread,MERGE,Banana bread,Sonnentor,,Banánový chlebík s citrusy je hotový jedna dvě a pohladí každé mlsné bříško.,"Dezerty & sladké, Pečení, Pečivo",REPLACE,TRUE,,https://www.sonnentor.com/cz/Tips/87996/image-thumb__87996__thumb-slider/banana-bread.8cdb9919.jpg,Banana bread,recipes,banana-bread-thumb.jpg,100,4,vegetariánské,,,,"cokoladove-grissini, jablecne-cupcaky, chai-orechovy-muffin, chai-mlecna-ryze, kavovy-lanyz, kouzelna-cokoladova-pena, kvaskovy-chleb, pernikove-muffiny","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""200|g|hladké mouky"",""3|lžičky|prášku do pečiva"",""||špetka soli"",""2|lžíce|pomerančové šťávy"",""75|g|změklého másla"",""115|g|cukru krupice"",""2||vejce"",""4||zralé banány""]","skorice-cassia-bio-mleta-40g, pernikove-koreni-bio-mlete-40g, citron-bio-etericky-olej-5-ml, muskatovy-orisek-bio-mlety-30g",Recept,,,"[""Nejdříve si v jedné míse smíchejte suché suroviny; mouku, prášek do pečiva, lžičku skořice, lžičku perníkového koření a lžičku muškátového oříšku. Vše důkladně promíchejte. Přidejte ještě podle chuti hrst nasekaných vlašských oříšků, nalámanou hořkou čokoládu nebo holandské kakao. Mezitím si troubu předehřejte na 180 °C a pečící formu vymažte máslem a vysypte moukou."",""V jiné míse si utřete cukr a máslo, po důkladném promíchání přidejte ještě všechna vejce, 4 kapky éterického oleje z citronu (na vaření) a pomerančovou šťávu. Opět důkladně promíchejte a smíchejte se sypkými surovinami. V tuhle chvíli nás čeká nejnáročnější práce, vše musíte opět důkladně promíchat. Teď přichází na řadu banány. Nakrájejte je na menší kousky a v mističce vedle je rozmačkejte vidličkou. Poté je přidejte do těsta a opět důkladně promíchejte, aby se spojily všechny suroviny."",""Vše přelijte do formy, dejte do trouby na 180 °C na cca hodinu a čtvrt. Záleží, jak vysokou máte formu a jaký druh trouby máte. Průběžně ale kontrolujte a propichujte dlouhou špejlí. Pokud se vám nebude lepit těsto, chlebíček máte hotový.""]"
bananove-smoothie,MERGE,Banánové smoothie,Sonnentor,,Okatá lahoda nejen pro nejmenší!,"Děti, Snídaně, Svačina, ovoce",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36722/image-thumb__36722__thumb-slider/bananove-smoothie.96179440.jpg,Banánové smoothie,recipes,bananove-smoothie-thumb.jpg,7,4,"vegetariánské, veganské, bez laktózy, bez lepku",,,,"cokoladove-grissini, pulmesicky-vsechno-nejmilejsi, kvaskovy-chleb, nakladane-ostruziny, boruvkovy-kolac-peceny-v-hrnku, dynove-hranolky, jahlova-kase-s-granolou, svenova-pomazanka-z-uzeneho-lososa","Recepty, které by vám také mohly chutnat",,"[""4||banány"",""750|ml|mandlového mléka"",""2|lžíce|mandlové smetany (dle volby)"",""3||menší datle""]",kurkuma-latte-vanilka-bio-60g,Recept,"Do dospělácké verze můžete vmíchat také espresso. Nápoj pak nejen dobře chutná, ale navíc vás skvěle nakopne do nového dne!",,"[""Tři banány oloupejte a všechny přísady v mixéru dobře rozmixujte. Smoothiem naplňte sklenice."",""Zbývající banán nakrájejte na zhruba 4cm kousky, z jedné strany namočte do vanilkového Kurkuma Latte, pro nejmenší můžete přidat také očka z cukrových pecek, kousků hořké čokolády nebo třeba sušeného ovoce."",""Jednotlivé banánky napíchněte na kraje sklenic, smoothie posypte špetkou Kurkuma Latte a podávejte.""]"
ovesna-srdicka-s-malinami-jogurtem-a-cokoladou,MERGE,"Ovesná srdíčka s malinami, jogurtem a čokoládou",Sonnentor,,Zamilujte se do křupavých srdíček pečených s láskou!,"Děti, Snídaně, Svačina, Dezerty & sladké",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36723/image-thumb__36723__thumb-slider/ovesna-srdicka-s-malinami-jogurtem-a-cokoladou.38351c11.jpg,"Ovesná srdíčka s malinami, jogurtem a čokoládou",recipes,ovesna-srdicka-s-malinami-jogurtem-a-cokoladou-thumb.jpg,30,1,"vegetariánské, veganské, bez laktózy",,,,"cokoladove-grissini, jablecne-cupcaky, chai-orechovy-muffin, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kavovy-lanyz, kouzelna-cokoladova-pena, kvaskovy-chleb","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""100|g|jemných ovesných vloček"",""200|ml|mandlového mléka"",""2|lžíce|datlového sirupu nebo datlové pasty"",""||polovina zralého banánu"",""||pár lžiček (rostlinného) jogurtu a čokoládové polevy"",""||pár čerstvých malin"",""||špetka soli""]","vanilka-bio-mleta-10-g, skorice-cejlon-bio-mleta-40g, vsechno-nejmilejsi-smes-kvetu-a-koreni-bio-40g",Recept,,,"[""Troubu předehřejte na 200 °C. Vločky smíchejte s mandlovým mlékem, skořicí, vanilkou, špetkou soli a datlovou pastou. Vmíchejte také rozmačkaný banán. Směs nechte pár minut odpočinout. Pokud bude příliš řídká, přidejte vločky, pokud hustá, kapku mléka. Na plech vyložený pečicím papírem tvarujte ze směsi srdíčka. Pečte je zhruba 20 minut, poté nechte zchládnout. Na závěr ozdobte hustým jogurtem nebo čokoládou, čerstvými malinami a kořením Všechno nejmilejší. Podávejte ještě teplé.""]"
jablecne-snidanove-muffiny-se-skorici,MERGE,Jablečné snídaňové muffiny se skořicí,Sonnentor,,"Vláčné muffiny s jablíčky ráno zmizí mrknutím oka... a pokud by nějaký náhodou zbyl, snadno si ho zabalíte s sebou na svačinku.","Děti, Snídaně, Svačina, Dezerty & sladké, Pečení",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36724/image-thumb__36724__thumb-slider/jablecne-snidanove-muffiny-se-skorici.7a1d25ac.jpg,Jablečné snídaňové muffiny se skořicí,recipes,jablecne-snidanove-muffiny-se-skorici-thumb.jpg,60,4,"vegetariánské, bez lepku",,,,"cokoladove-grissini, jablecne-cupcaky, chai-orechovy-muffin, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kavovy-lanyz, kouzelna-cokoladova-pena, kvaskovy-chleb","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""100|g|mletých mandlí"",""120|g|pohankové mouky"",""2|lžičky|prášku do pečiva"",""12|ks|datlí"",""1||větší jablíčko, nastrouhané"",""4|lžičky|rozpuštěného másla"",""180|ml|skyru"",""3||vejce"",""||pár jablečných křížal""]","vanilka-bio-mleta-10-g, kardamom-bio-mlety-50g, ayurvedska-kouzelna-sul-jemna-konv-150g, skorice-cejlon-bio-mleta-40g",Recept,,,"[""Troubu předehřejte na 180 stupňů. Všechny suché ingredience (koření a sůl - špetka od každého) smíchejte v misce, poté postupně přidávejte všechny mokré přísady kromě strouhaného jablíčka, nakonec vše dobře promixujte."",""Do hladké směsi vmíchejte nastrouhané jablko. Těsto plňte do připravených, máslem vymazaných formiček na muffiny. Pečte je v troubě zhruba 15-20 minut. Nakonec každý muffin ještě za tepla nazdobte - do středu zapíchněte křížalu a zasypte skořicí. Pokud muffiny nesníte hned, v lednici vám vydrží až týden.""]"
koprivove-smoothie,MERGE,Kopřivové smoothie,Sonnentor,,Kopřiva je plná vitamínů - ideální bylinka pro jarní probuzení,"Rychlá kuchyně, nápoje, Smoothie",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/89046/image-thumb__89046__thumb-slider/smoothie-kopriva.2bfe5480.png,Kopřivové smoothie,recipes,koprivove-smoothie-thumb.jpg,10,2,"veganské, vegetariánské, bez laktózy, bez lepku",,,,"polevka-z-korenove-zeleniny, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, orientalni-ledovy-caj, wongovy-ryzove-karbanatky, nakladane-ostruziny, boruvkovy-kolac-peceny-v-hrnku","Recepty, které by vám také mohly chutnat",,"[""1|hrst|pár lístků čerstvé kopřivy (nemusí být)"",""||šťáva z půlky pomeranče"",""1|ks|banány"",""||trocha vody nebo kostka ledu""]",charlieho-koreni-do-kase-bio-70-g,Recept,,,"[""Čerstvou kopřivu (jako jakoukoliv jinou divokou bylinku) nejprve dobře omyjte. Všechny ingredience včetně špetky Charlieho koření do kaše společně rozmixujte do krémové konzistence."",""Podle chuti přidejte vodu, abyte docílili správné hustoty.""]"
